Pietro Ducange|https://dblp.org/pers/hd/d/Ducange:Pietro|University of Pisa, Italy
Rafael Alcalá|https://dblp.org/pers/hd/a/Alcal=aacute=:Rafael|
Gennaro Amendola|https://dblp.org/pers/hd/a/Amendola:Gennaro|
Giuseppe Anastasi|https://dblp.org/pers/hd/a/Anastasi:Giuseppe|University of Pisa, Italy
Fabio Antonelli|https://dblp.org/pers/hd/a/Antonelli:Fabio|
Michela Antonelli|https://dblp.org/pers/hd/a/Antonelli:Michela|
Mattia Antonini|https://dblp.org/pers/hd/a/Antonini:Mattia|
Marco Barsacchi|https://dblp.org/pers/hd/b/Barsacchi:Marco|
Alessio Bechini|https://dblp.org/pers/hd/b/Bechini:Alessio|
Simone Brienza|https://dblp.org/pers/hd/b/Brienza:Simone|
Daniel Burgos|https://dblp.org/pers/hd/b/Burgos:Daniel|Universidad Internacional de La Rioja, Logroño, Spain
Livio Cascone|https://dblp.org/pers/hd/c/Cascone:Livio|
Marta Cimitile|https://dblp.org/pers/hd/c/Cimitile:Marta|Unitelma Sapienza University, Rome, Italy
Marco Cococcioni|https://dblp.org/pers/hd/c/Cococcioni:Marco|
Eleonora D'Andrea|https://dblp.org/pers/hd/d/D=Andrea:Eleonora|
Michela Fazzolari|https://dblp.org/pers/hd/f/Fazzolari:Michela|
Andrea Ferranti|https://dblp.org/pers/hd/f/Ferranti:Andrea|
Domenico De Guglielmo|https://dblp.org/pers/hd/g/Guglielmo:Domenico_De|
Francisco Herrera|https://dblp.org/pers/hd/h/Herrera:Francisco|University of Granada, Department of Computer Science and Artificial Intelligence
Beatrice Lazzerini|https://dblp.org/pers/hd/l/Lazzerini:Beatrice|University of Pisa, Italy
Danilo Loffreno|https://dblp.org/pers/hd/l/Loffreno:Danilo|
Giuseppe Mannara|https://dblp.org/pers/hd/m/Mannara:Giuseppe|
Francesco Marcelloni|https://dblp.org/pers/hd/m/Marcelloni:Francesco|University of Pisa, Italy
D. Marinari|https://dblp.org/pers/hd/m/Marinari:D=|
Paolo Mezzina|https://dblp.org/pers/hd/m/Mezzina:Paolo|
Riccardo Pecori|https://dblp.org/pers/hd/p/Pecori:Riccardo|Università degli Studi eCampus, Novedrate, Italy
Charith Perera|https://dblp.org/pers/hd/p/Perera:Charith|
Marinella Petrocchi|https://dblp.org/pers/hd/p/Petrocchi:Marinella|
Pietro Picerno|https://dblp.org/pers/hd/p/Picerno:Pietro|
Paolo Raviolo|https://dblp.org/pers/hd/r/Raviolo:Paolo|
Alessandro Renda|https://dblp.org/pers/hd/r/Renda:Alessandro|
Germano Resconi|https://dblp.org/pers/hd/r/Resconi:Germano|
Luigi Sarti|https://dblp.org/pers/hd/s/Sarti:Luigi|
Armando Segatori|https://dblp.org/pers/hd/s/Segatori:Armando|
Christian M. Stracke|https://dblp.org/pers/hd/s/Stracke:Christian_M=|Open University in the Netherlands, Heerlen, The Netherlands
Massimo Vecchio|https://dblp.org/pers/hd/v/Vecchio:Massimo|
Tommaso Zaccone|https://dblp.org/pers/hd/z/Zaccone:Tommaso|
María José Gacto|https://dblp.org/pers/hd/g/Gacto:Mar=iacute=a_Jos=eacute=|
José M. Soto-Hidalgo|https://dblp.org/pers/hd/s/Soto=Hidalgo:Jos=eacute=_Manuel|
Jesús Alcalá-Fdez|https://dblp.org/pers/hd/a/Alcal=aacute==Fdez:Jes=uacute=s|University of Granada, Department Computer Science and Artificial Intelligence, Spain
Augusto Anguita-Ruiz|https://dblp.org/pers/hd/a/Anguita=Ruiz:Augusto|
Alberto Segura-Delgado|https://dblp.org/pers/hd/s/Segura=Delgado:Alberto|
